"""=GOOGLEFINANCE(""AAPL"", ""close"", DATE(2020,1,1), DATE(2023,2,23), ""DAILY"")""",,,,,,,,
Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,S&P500
3/30/2021 16:00:00,119.9,152.76,102.78,288,231.85,128.72,211.87,3958.55
3/31/2021 16:00:00,122.15,154.7,103.43,294.53,235.77,133.48,222.64,3972.89
4/1/2021 16:00:00,123,158.05,106.89,298.66,242.35,138.12,220.58,4019.87
4/5/2021 16:00:00,125.9,161.34,111.28,308.91,249.07,139.88,230.35,4077.91
4/6/2021 16:00:00,126.21,161.19,111.24,306.26,247.86,138.62,230.54,4073.94
4/7/2021 16:00:00,127.9,163.97,112.48,313.09,249.9,141.44,223.66,4079.95
4/8/2021 16:00:00,130.36,164.97,113.27,313.02,253.25,143.17,227.93,4097.17
4/9/2021 16:00:00,133,168.61,114.29,312.46,255.85,144,225.67,4128.8
4/12/2021 16:00:00,131.24,168.97,112.74,311.54,255.91,152.09,233.99,4127.99
4/13/2021 16:00:00,134.43,170,113.36,309.76,258.49,156.79,254.11,4141.59
4/14/2021 16:00:00,132.03,166.65,112.74,302.82,255.59,152.77,244.08,4124.66
4/15/2021 16:00:00,134.5,168.95,114.83,307.82,259.5,161.37,246.28,4170.42
4/16/2021 16:00:00,134.16,169.97,114.89,306.18,260.74,159.13,246.59,4185.47
4/19/2021 16:00:00,134.84,168.6,115.12,302.24,258.74,153.62,238.21,4163.26
4/20/2021 16:00:00,133.11,166.73,114.68,302.65,258.26,151.71,239.66,4134.94
4/21/2021 16:00:00,133.5,168.1,114.66,301.47,260.58,153.6,248.04,4173.42
4/22/2021 16:00:00,131.94,165.45,113.4,296.52,257.17,148.5,239.9,4134.98
4/23/2021 16:00:00,134.32,167.04,115.77,301.13,261.15,152.65,243.13,4180.17
4/26/2021 16:00:00,134.72,170.45,116.34,303.04,261.55,154.78,246.07,4187.62
4/27/2021 16:00:00,134.39,170.87,115.36,303.57,261.97,153.82,234.91,4186.72
4/28/2021 16:00:00,133.58,172.93,119,307.1,254.56,152.77,231.47,4183.18
4/29/2021 16:00:00,133.48,173.57,121.49,329.51,252.51,153.25,225.67,4211.47
4/30/2021 16:00:00,131.46,173.37,120.51,325.08,252.18,150.1,236.48,4181.17
5/3/2021 16:00:00,132.54,169.32,119.76,322.58,251.86,148.37,228.3,4192.66
5/4/2021 16:00:00,127.85,165.59,117.71,318.36,247.79,143.51,224.53,4164.66
5/5/2021 16:00:00,128.1,163.53,117.84,315.02,246.47,144.59,223.65,4167.59
5/6/2021 16:00:00,129.74,165.32,119.07,320.02,249.73,145.23,221.18,4201.62
5/7/2021 16:00:00,130.21,164.58,119.93,319.08,252.46,148.12,224.12,4232.6
5/10/2021 16:00:00,126.85,159.52,117.08,305.97,247.18,142.66,209.68,4188.43
5/11/2021 16:00:00,125.91,161.2,115.44,306.53,246.23,143.06,205.73,4152.1
5/12/2021 16:00:00,122.77,157.6,111.95,302.55,239,137.59,196.63,4063.04
5/13/2021 16:00:00,124.97,158.07,113.1,305.26,243.03,136.65,190.56,4112.5
5/14/2021 16:00:00,127.45,161.15,115.81,315.94,248.15,142.43,196.58,4173.85
5/17/2021 16:00:00,126.27,163.52,116.07,315.46,245.18,141.66,192.28,4163.29
5/18/2021 16:00:00,124.85,161.61,115.17,309.96,243.08,140.16,192.62,4127.83
5/19/2021 16:00:00,124.69,161.59,115.44,313.59,243.12,140.66,187.82,4115.68
5/20/2021 16:00:00,127.31,162.38,117.8,318.61,246.48,146.13,195.59,4159.12
5/21/2021 16:00:00,125.43,160.15,117.26,316.23,245.17,149.92,193.63,4155.86
5/24/2021 16:00:00,127.1,162.25,120.33,324.63,250.78,156.12,202.15,4197.05
5/25/2021 16:00:00,126.9,162.95,120.45,327.79,251.72,156.48,201.56,4188.13
5/26/2021 16:00:00,126.85,163.26,121.68,327.66,251.49,157,206.38,4195.99
5/27/2021 16:00:00,125.28,161.51,120.13,332.75,249.31,154.88,210.28,4200.88
5/28/2021 16:00:00,124.61,161.15,120.58,328.73,249.68,162.45,208.41,4204.11
6/1/2021 16:00:00,124.28,160.93,121.49,329.13,247.4,162.65,207.97,4202.04
6/2/2021 16:00:00,125.06,161.7,121.06,329.15,247.3,167.78,201.71,4208.12
6/3/2021 16:00:00,123.54,159.35,120.23,326.04,245.71,169.7,190.95,4192.85
6/4/2021 16:00:00,125.89,160.31,122.59,330.35,250.79,175.78,199.68,4229.89
6/7/2021 16:00:00,125.9,159.9,123.3,336.58,253.81,176.19,201.71,4226.52
6/8/2021 16:00:00,126.74,163.21,124.14,333.68,252.57,174.57,201.2,4227.26
6/9/2021 16:00:00,127.13,164.06,124.57,330.25,253.59,173.58,199.59,4219.55
6/10/2021 16:00:00,126.11,167.48,126.08,332.46,257.24,174.25,203.37,4239.18
6/11/2021 16:00:00,127.35,167.34,125.7,331.26,257.89,178.25,203.3,4247.44
6/14/2021 16:00:00,130.48,169.19,126.35,336.77,259.89,180.19,205.9,4255.15
6/15/2021 16:00:00,129.64,169.16,126.03,336.75,258.36,177.89,199.79,4246.59
6/16/2021 16:00:00,130.15,170.76,125.7,331.08,257.38,178.1,201.62,4223.7
6/17/2021 16:00:00,131.79,174.46,126.37,336.51,260.9,186.57,205.53,4221.86
6/18/2021 16:00:00,130.46,174.35,125.57,329.66,259.43,186.39,207.77,4166.45
6/21/2021 16:00:00,132.3,172.7,126.46,332.29,262.63,184.27,206.94,4224.79
6/22/2021 16:00:00,133.98,175.27,127,339.03,265.51,188.87,207.9,4246.44
6/23/2021 16:00:00,133.7,175.19,126.46,340.59,265.27,190.57,218.86,4241.84
6/24/2021 16:00:00,133.41,172.45,127.28,343.18,266.69,192.06,226.61,4266.49
6/25/2021 16:00:00,133.11,170.07,127,341.37,265.02,190.31,223.96,4280.7
6/28/2021 16:00:00,134.78,172.19,126.82,355.64,268.72,199.85,229.57,4290.61
6/29/2021 16:00:00,136.33,172.41,126.02,351.89,271.4,200.27,226.92,4291.8
6/30/2021 16:00:00,136.96,172.01,125.32,347.71,270.9,200.03,226.57,4297.5
7/1/2021 16:00:00,137.27,171.65,126.37,354.39,271.6,202.12,225.97,4319.94
7/2/2021 16:00:00,139.96,175.55,128.72,354.7,277.65,204.87,226.3,4352.34
7/6/2021 16:00:00,142.02,183.79,129.77,352.78,277.66,206.99,219.86,4343.54
7/7/2021 16:00:00,144.57,184.83,130.08,350.49,279.93,203.72,214.88,4358.13
7/8/2021 16:00:00,143.24,186.57,129.18,345.65,277.42,199.03,217.6,4320.82
7/9/2021 16:00:00,145.11,185.97,129.57,350.42,277.94,200.5,218.98,4369.55
7/12/2021 16:00:00,144.5,185.93,130.56,353.16,277.32,205.13,228.57,4384.63
7/13/2021 16:00:00,145.64,183.87,130.99,352.09,280.98,202.5,222.85,4369.21
7/14/2021 16:00:00,149.15,184.08,132.08,347.63,282.51,198.42,217.79,4374.3
7/15/2021 16:00:00,148.48,181.56,131.27,344.46,281.03,189.66,216.87,4360.03
7/16/2021 16:00:00,146.39,178.68,131.85,341.16,280.75,181.61,214.74,4327.16
7/19/2021 16:00:00,142.45,177.48,129.25,336.95,277.01,187.8,215.41,4258.49
7/20/2021 16:00:00,146.15,178.66,131.1,341.66,279.32,186.12,220.17,4323.06
7/21/2021 16:00:00,145.4,179.26,132.6,346.23,281.4,194.1,218.43,4358.69
7/22/2021 16:00:00,146.8,181.9,133.33,351.19,286.14,195.94,216.42,4367.48
7/23/2021 16:00:00,148.56,182.83,137.82,369.79,289.67,195.58,214.46,4411.79
7/26/2021 16:00:00,148.99,184.99,139.64,372.46,289.05,192.94,219.21,4422.3
7/27/2021 16:00:00,146.77,181.32,136.8,367.81,286.54,192.08,214.93,4401.46
7/28/2021 16:00:00,144.98,181.52,136.38,373.28,286.22,195.03,215.66,4400.64
7/29/2021 16:00:00,145.64,180,136.54,358.32,286.5,196.62,225.78,4419.15
7/30/2021 16:00:00,145.86,166.38,135.22,356.3,284.91,194.99,229.07,4395.26
8/2/2021 16:00:00,145.52,166.57,135.99,351.95,284.82,197.5,236.56,4387.16
8/3/2021 16:00:00,147.36,168.31,136.28,351.24,287.12,198.15,236.58,4423.15
8/4/2021 16:00:00,146.95,167.74,136.03,358.92,286.51,202.74,236.97,4402.66
8/5/2021 16:00:00,147.06,168.8,136.94,362.97,289.52,206.37,238.21,4429.1
8/6/2021 16:00:00,146.14,167.25,137.04,363.51,289.46,203.66,233.03,4436.52
8/9/2021 16:00:00,146.09,167.09,138,361.61,288.33,202.95,237.92,4432.35
8/10/2021 16:00:00,145.6,166.03,138.1,361.13,286.44,199.36,236.66,4436.75
8/11/2021 16:00:00,145.86,164.61,137.69,359.96,286.95,196.99,235.94,4447.7
8/12/2021 16:00:00,148.89,165.18,138.39,362.65,289.81,199.05,240.75,4460.83
8/13/2021 16:00:00,149.1,164.7,138.41,363.18,292.85,201.88,239.06,4468
8/16/2021 16:00:00,151.12,164.95,138.92,366.56,294.6,199.5,228.72,4479.71
8/17/2021 16:00:00,150.19,162.1,137.3,358.45,293.08,194.58,221.9,4448.08
8/18/2021 16:00:00,146.36,160.06,136.57,355.45,290.73,190.4,229.66,4400.27
8/19/2021 16:00:00,146.7,159.39,136.91,355.12,296.77,197.98,224.49,4405.8
8/20/2021 16:00:00,148.19,160,138.44,359.37,304.36,208.16,226.75,4441.67
8/23/2021 16:00:00,149.71,163.29,141.1,363.35,304.65,219.58,235.43,4479.53
8/24/2021 16:00:00,149.62,165.29,142.4,365.51,302.62,217.93,236.16,4486.23
8/25/2021 16:00:00,148.36,164.96,142.95,368.39,302.01,222.13,237.07,4496.19
8/26/2021 16:00:00,147.54,165.8,142.12,364.38,299.09,220.68,233.72,4470
8/27/2021 16:00:00,148.6,167.48,144.55,372.63,299.72,226.36,237.31,4509.37
8/30/2021 16:00:00,153.12,171.08,145.47,380.66,303.59,226.88,243.64,4528.79
